data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2021-05-30 02:00:54.782021;3525;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;ISS3998;M. BENZ;OH 1622;2012-01-18;2011;DIESEL
2021-05-30 02:00:54.782021;3506;EMPRESA DE TRANSPORTES GASÔMETRO S.A.;IXC1071;M. BENZ;O-500M;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;6186;AUTO VIACAO NAVEGANTES LTDA;IRA7703;M. BENZ;O-500M;2010-08-19;2010;DIESEL
2021-05-30 02:00:54.782021;6126;AUTO VIACAO NAVEGANTES LTDA;ISL4459;M. BENZ;OF 1722;2011-11-08;2011;DIESEL
2021-05-30 02:00:54.782021;6105;AUTO VIACAO NAVEGANTES LTDA;ISL4523;M. BENZ;OF 1722;2011-11-08;2011;DIESEL
2021-05-30 02:00:54.782021;6623;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IZP2A91;M. BENZ;OF 1721L;2019-10-02;2019;DIESEL
2021-05-30 02:00:54.782021;6647;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IYW2060;M. BENZ;OF 1721;2018-10-29;2018;DIESEL
2021-05-30 02:00:54.782021;3079;SUDESTE TRANSPORTES COLETIVOS LTDA;IQD4519;M. BENZ;O-500M;2009-10-05;2009;DIESEL
2021-05-30 02:00:54.782021;3054;SUDESTE TRANSPORTES COLETIVOS LTDA;IPA2928;M. BENZ;O-500M;2008-08-20;2008;DIESEL
2021-05-30 02:00:54.782021;3142;SUDESTE TRANSPORTES COLETIVOS LTDA;ITQ1937;M. BENZ;OF 1721;2012-10-27;2012;DIESEL
2021-05-30 02:00:54.782021;3304;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC0955;M. BENZ;OF 1721;2016-02-15;2015;DIESEL
2021-05-30 02:00:54.782021;1206;TRANSPORTES COLETIVOS TREVO LTDA;IOI4727;M. BENZ;OF 1722M;2007-12-12;2007;DIESEL
